feature,target_variable,used_in_model
policy_year_records,premium_customer,True
total_earned_premium,premium_customer,True
total_written_premium,premium_customer,True
total_net_loss,premium_customer,True
total_claim_count,premium_customer,True
total_commission,premium_customer,True
total_admin_expense,premium_customer,True
total_tax,premium_customer,True
average_premium,premium_customer,True
average_earned_premium,premium_customer,True
average_payment_delay,premium_customer,True
average_customer_satisfaction,premium_customer,True
total_complaints,premium_customer,True
delinquency_rate,premium_customer,True
renewal_rate,premium_customer,True
multi_product_rate,premium_customer,True
average_hazard_score,premium_customer,True
average_property_value,premium_customer,True
average_coverage_amount,premium_customer,True
average_credit_score,premium_customer,True
average_deductible,premium_customer,True
average_agent_experience,premium_customer,True
years_active,premium_customer,True
max_tenure,premium_customer,True
dominant_state,premium_customer,True
dominant_income_bracket,premium_customer,True
dominant_payment_method,premium_customer,True
dominant_marketing_channel,premium_customer,True
dominant_agent_channel,premium_customer,True
dominant_item_type,premium_customer,True
dominant_subtype,premium_customer,True
dominant_credit_band,premium_customer,True
average_loss_ratio,premium_customer,True
average_claim_severity,premium_customer,True
claim_frequency,premium_customer,True
premium_to_property_ratio,premium_customer,True
coverage_to_property_ratio,premium_customer,True
loss_ratio,premium_customer,True
claim_frequency_per_year,premium_customer,True
