feature,importance_score,importance_rank,model_name,method_used
loss_ratio,0.40004250219177706,1,GradientBoosting,feature_importance
total_earned_premium,0.34321748811497765,2,GradientBoosting,feature_importance
average_loss_ratio,0.21583625458546726,3,GradientBoosting,feature_importance
total_commission,0.02080903469980385,4,GradientBoosting,feature_importance
average_earned_premium,0.005176316568515075,5,GradientBoosting,feature_importance
total_net_loss,0.005017942930331518,6,GradientBoosting,feature_importance
claim_frequency,0.0034502003980155824,7,GradientBoosting,feature_importance
total_claim_count,0.0020991001722735843,8,GradientBoosting,feature_importance
average_claim_severity,0.0014164998450224041,9,GradientBoosting,feature_importance
claim_frequency_per_year,0.000743634428862825,10,GradientBoosting,feature_importance
total_written_premium,0.000564525091256413,11,GradientBoosting,feature_importance
average_premium,0.00042109116224458437,12,GradientBoosting,feature_importance
average_coverage_amount,0.00041902784720325697,13,GradientBoosting,feature_importance
total_admin_expense,0.000315129077172321,14,GradientBoosting,feature_importance
coverage_to_property_ratio,0.0001646203791330244,15,GradientBoosting,feature_importance
total_tax,0.00013658030779910418,16,GradientBoosting,feature_importance
dominant_agent_channel,5.256330002819915e-05,17,GradientBoosting,feature_importance
average_property_value,4.6578972859231176e-05,18,GradientBoosting,feature_importance
premium_to_property_ratio,2.3215893005725065e-05,19,GradientBoosting,feature_importance
average_credit_score,1.1010985902867613e-05,20,GradientBoosting,feature_importance
average_payment_delay,1.0952800008148924e-05,21,GradientBoosting,feature_importance
dominant_income_bracket,9.613648744780272e-06,22,GradientBoosting,feature_importance
multi_product_rate,6.366217802561777e-06,23,GradientBoosting,feature_importance
dominant_state,4.662750548599023e-06,24,GradientBoosting,feature_importance
average_hazard_score,4.21661205181025e-06,25,GradientBoosting,feature_importance
total_complaints,8.710191924285914e-07,26,GradientBoosting,feature_importance
average_agent_experience,0.0,27,GradientBoosting,feature_importance
renewal_rate,0.0,28,GradientBoosting,feature_importance
dominant_item_type,0.0,29,GradientBoosting,feature_importance
policy_year_records,0.0,30,GradientBoosting,feature_importance
max_tenure,0.0,31,GradientBoosting,feature_importance
dominant_subtype,0.0,32,GradientBoosting,feature_importance
dominant_payment_method,0.0,33,GradientBoosting,feature_importance
dominant_marketing_channel,0.0,34,GradientBoosting,feature_importance
dominant_credit_band,0.0,35,GradientBoosting,feature_importance
delinquency_rate,0.0,36,GradientBoosting,feature_importance
average_deductible,0.0,37,GradientBoosting,feature_importance
average_customer_satisfaction,0.0,38,GradientBoosting,feature_importance
years_active,0.0,39,GradientBoosting,feature_importance
