feature,importance_score,importance_rank,model_name,method_used
average_claim_severity,18.89644621022769,1,LogisticRegression,coefficient_abs
total_net_loss,10.938924757246285,2,LogisticRegression,coefficient_abs
total_earned_premium,5.194058525382816,3,LogisticRegression,coefficient_abs
total_claim_count,5.071219077699273,4,LogisticRegression,coefficient_abs
total_written_premium,3.0212926168273078,5,LogisticRegression,coefficient_abs
average_loss_ratio,2.885354044771081,6,LogisticRegression,coefficient_abs
loss_ratio,2.885354044771081,7,LogisticRegression,coefficient_abs
dominant_state,2.1879377778548084,8,LogisticRegression,coefficient_abs
average_premium,2.1585333674300866,9,LogisticRegression,coefficient_abs
average_earned_premium,1.990554923560908,10,LogisticRegression,coefficient_abs
total_commission,1.2980349516308556,11,LogisticRegression,coefficient_abs
total_admin_expense,1.1587697813456808,12,LogisticRegression,coefficient_abs
total_tax,1.0568087379120232,13,LogisticRegression,coefficient_abs
claim_frequency,0.8069493106555015,14,LogisticRegression,coefficient_abs
claim_frequency_per_year,0.8069493106555015,15,LogisticRegression,coefficient_abs
average_property_value,0.7530279637370468,16,LogisticRegression,coefficient_abs
premium_to_property_ratio,0.6589842236646068,17,LogisticRegression,coefficient_abs
years_active,0.6469111951527912,18,LogisticRegression,coefficient_abs
policy_year_records,0.6469111951527912,19,LogisticRegression,coefficient_abs
max_tenure,0.6469111951527912,20,LogisticRegression,coefficient_abs
dominant_credit_band,0.5956331642491166,21,LogisticRegression,coefficient_abs
dominant_marketing_channel,0.5705675983143086,22,LogisticRegression,coefficient_abs
dominant_income_bracket,0.47396320119424895,23,LogisticRegression,coefficient_abs
dominant_agent_channel,0.4485328439274724,24,LogisticRegression,coefficient_abs
average_coverage_amount,0.4071607378957852,25,LogisticRegression,coefficient_abs
dominant_payment_method,0.3612838702599816,26,LogisticRegression,coefficient_abs
dominant_item_type,0.2857272836866114,27,LogisticRegression,coefficient_abs
dominant_subtype,0.2568464836959672,28,LogisticRegression,coefficient_abs
average_credit_score,0.24416832726940346,29,LogisticRegression,coefficient_abs
average_hazard_score,0.182141821199129,30,LogisticRegression,coefficient_abs
renewal_rate,0.15353872940655527,31,LogisticRegression,coefficient_abs
coverage_to_property_ratio,0.10127356931540919,32,LogisticRegression,coefficient_abs
average_customer_satisfaction,0.0642299042296509,33,LogisticRegression,coefficient_abs
average_agent_experience,0.05892133029925969,34,LogisticRegression,coefficient_abs
total_complaints,0.03811583972375018,35,LogisticRegression,coefficient_abs
average_payment_delay,0.03481212920023796,36,LogisticRegression,coefficient_abs
multi_product_rate,0.02552679452225125,37,LogisticRegression,coefficient_abs
average_deductible,0.005427527965725287,38,LogisticRegression,coefficient_abs
delinquency_rate,0.004847726014571412,39,LogisticRegression,coefficient_abs
