feature,mean_abs_shap,importance_rank
loss_ratio,0.400042502191777,1
total_earned_premium,0.3432174881149776,2
average_loss_ratio,0.2158362545854672,3
total_commission,0.0208090346998038,4
average_earned_premium,0.005176316568515,5
total_net_loss,0.0050179429303315,6
claim_frequency,0.0034502003980155,7
total_claim_count,0.0020991001722735,8
average_claim_severity,0.0014164998450224,9
claim_frequency_per_year,0.0007436344288628,10
total_written_premium,0.0005645250912564,11
average_premium,0.0004210911622445,12
average_coverage_amount,0.0004190278472032,13
total_admin_expense,0.0003151290771723,14
coverage_to_property_ratio,0.000164620379133,15
total_tax,0.0001365803077991,16
dominant_agent_channel,5.256330002819915e-05,17
average_property_value,4.6578972859231176e-05,18
premium_to_property_ratio,2.3215893005725065e-05,19
average_credit_score,1.1010985902867612e-05,20
average_payment_delay,1.0952800008148924e-05,21
dominant_income_bracket,9.613648744780272e-06,22
multi_product_rate,6.366217802561777e-06,23
dominant_state,4.662750548599023e-06,24
average_hazard_score,4.21661205181025e-06,25
total_complaints,8.710191924285914e-07,26
average_agent_experience,0.0,27
renewal_rate,0.0,28
dominant_item_type,0.0,29
policy_year_records,0.0,30
max_tenure,0.0,31
dominant_subtype,0.0,32
dominant_payment_method,0.0,33
dominant_marketing_channel,0.0,34
dominant_credit_band,0.0,35
delinquency_rate,0.0,36
average_deductible,0.0,37
average_customer_satisfaction,0.0,38
years_active,0.0,39
